model,n_train_actual,metric_val,train_time_s,inference_time_s_per_sample
catboost,10000,0.9860605932203391,1.3045060634613037,5.509455998738607e-07
catboost,1000,0.9878813559322035,2.1786136627197266,8.551279703776041e-07
catboost,20000,0.9897631355932203,1.82708740234375,9.912053743998209e-07
catboost,2500,0.9877470338983051,0.5753397941589355,6.753206253051758e-07
catboost,36000,0.9918427966101695,3.986935615539551,6.679495175679525e-07
catboost,5000,0.9904228813559321,1.4004502296447754,7.038513819376628e-07
random_forest,10000,0.9878203389830509,2.0336437225341797,2.0077625910441082e-05
random_forest,1000,0.9840709745762712,1.4167263507843018,2.041780948638916e-05
random_forest,20000,0.9899184322033898,3.398603677749634,2.0578304926554362e-05
random_forest,2500,0.9843697033898307,1.4823834896087646,2.046718200047811e-05
random_forest,36000,0.9893309322033899,7.362290382385254,2.2375067075093586e-05
random_forest,5000,0.9893336864406779,1.5534553527832031,2.176698048909505e-05
xgboost,10000,0.989306779661017,19.471596479415894,1.609132687250773e-05
xgboost,1000,0.5,1.6022818088531494,1.0417501131693523e-06
xgboost,20000,0.9917576271186441,31.97233748435974,2.3252387841542563e-05
xgboost,2500,0.9820360169491524,13.136041641235352,8.621156215667725e-06
xgboost,36000,0.9927745762711865,52.71498131752014,3.0326823393503825e-05
xgboost,5000,0.9862771186440679,16.00471830368042,1.2555758158365885e-05
xrfm,10000,0.9869921610169491,2.0662825107574463,6.688336531321208e-06
xrfm,1000,0.9814830508474576,0.7118523120880127,5.713184674580892e-06
xrfm,20000,0.9887006355932204,5.337514877319336,6.640891234079997e-06
xrfm,2500,0.9840699152542374,0.7656087875366211,5.111833413441976e-06
xrfm,36000,0.9893080508474577,13.927689552307129,5.623459815979004e-06
xrfm,5000,0.9860807203389832,1.015284538269043,5.114694436391195e-06
