model,n_train_actual,metric_val,train_time_s,inference_time_s_per_sample
catboost,10000,0.9899851694915254,0.8878986835479736,7.749001185099284e-07
catboost,1000,0.9837398305084746,0.27842140197753906,5.809863408406576e-07
catboost,20000,0.9906279661016949,0.893244743347168,4.971027374267578e-07
catboost,2500,0.9884152542372882,0.3912169933319092,5.926092465718588e-07
catboost,36000,0.9925542372881356,2.6072475910186768,9.666085243225097e-07
catboost,5000,0.98945,0.7265338897705078,8.064905802408854e-07
random_forest,10000,0.9875947033898302,1.1653287410736084,9.366591771443684e-06
random_forest,1000,0.9808707627118645,0.5105385780334473,7.570584615071615e-06
random_forest,20000,0.9874434322033897,2.901118040084839,9.205222129821777e-06
random_forest,2500,0.9758398305084746,0.66361403465271,1.207423210144043e-05
random_forest,36000,0.989817161016949,6.204341173171997,9.499490261077881e-06
random_forest,5000,0.9850605932203389,0.5704941749572754,7.435202598571778e-06
xgboost,10000,0.9875970338983051,2.0842599868774414,1.2124180793762208e-06
xgboost,1000,0.9815271186440678,1.044123649597168,7.317264874776205e-07
xgboost,20000,0.9901330508474576,3.228672981262207,1.3269186019897461e-06
xgboost,2500,0.9866137711864407,0.8268556594848633,7.740259170532227e-07
xgboost,36000,0.988825,5.1313676834106445,1.4762679735819499e-06
xgboost,5000,0.9876332627118645,1.6328108310699463,1.0572671890258789e-06
xrfm,10000,0.9786851694915255,1.0577619075775146,1.2105902036031087e-06
xrfm,1000,0.9778709745762713,0.7997677326202393,4.931410153706868e-06
xrfm,20000,0.9815154661016948,5.205327033996582,5.194763342539469e-06
xrfm,2500,0.9793669491525423,0.9490547180175781,5.8455467224121095e-06
xrfm,36000,0.9783745762711864,20.911160469055176,9.513994057973226e-06
xrfm,5000,0.9787381355932204,0.9186627864837646,4.4837594032287594e-06
